Model,MAE,MSE,RMSE,R2 Score
Linear Regression,2.6831451581516266,34.425263135642524,5.867304588620104,0.1856919330860315
Decision Tree,3.0405405405405403,54.25567567567567,7.365845211221566,-0.2833840718802705
Random Forest,2.607216216216216,40.12672189189189,6.334565643506419,0.05082749239612927
